ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-0.04281766,-0.11558157,0.091515176,0.1499647,0.082728565,0.23959741,-0.004289895,-0.075757384,-0.074890204,0.04873456,0.0185083,-0.13029009,0.07106701,-0.2513538,0.06387597,0.19758834,-0.092691556,0.21530691,-0.07185624,0.045664478,0.1726178,0.05849033,-0.00459601,0.10066202,0.002586847,0.17374404,-0.033478584,0.2310479,0.011629918,0.032557577,-0.044182334,0.058096845,0.1630233,-0.06535377,-0.077799045,0.1776645,0.13106772,-0.1777063,-0.019463874,0.007627853,-0.005210107,0.1443123,-0.13387884,-0.15309408,0.040853783,-0.15566283,-0.03674327,-0.066401996,-0.05621272,-0.01669706,0.1973648,-0.054777455,0.00124762,-0.16946961,-0.15176423,-0.11741377,-0.051860955,-0.20084918,-0.18053868,-0.21067905,-0.25861305,0.026186487,0.10270331,-0.053687345,-0.04456173,0.044189896,0.27613634,-0.124796,-0.03331475,-0.16146639,-0.07699974,0.034030646,-0.10173904,-0.06530128,0.02023506,-0.22038393,-0.084283456,-0.04019364,-0.16517691,-0.10203279,-0.13124815,0.048836585,0.036514234,0.10884582,0.24926247,0.14689527,0.0413264,-0.021472769,0.0978222,0.07306298,0.09988298,0.048493862,-0.09985268,0.11171822,0.01609889,0.055841457,0.009583389,-0.22251011,-0.093485124,-0.051390592,-0.16897108,0.009764681,-0.028688079,-0.15356462,0.08095098,0.11097265,-0.070959136,0.18049973,-0.06777719,-0.044987276,-0.007904874,-0.18606168,-0.111866,0.13442142,0.095346875,0.050740328,0.003316366,-0.14600302,0.033701394,-0.01459024,-0.035787176,-0.08194422,-0.19025186,0.025082398,-0.038831938,0.17125978,-0.13600503,0.0498114
1,-0.25733107,-0.15783784,0.22108118,0.10511531,0.036423795,-0.01005753,-0.056692164,-0.07444685,-0.077454776,0.22609486,-0.23161459,-0.1265297,0.16367306,-0.27182505,0.07631676,0.2826678,-0.18443741,0.124476865,-0.000803936,-0.035498284,0.001918165,0.10167323,0.10384509,0.041988358,-0.19831602,0.2607221,-0.08070634,0.1728056,-0.16457133,-0.081326224,-0.066159666,-0.07119353,0.031202953,-0.039097328,-0.08271064,0.07397018,0.19077465,0.11158831,0.050698142,0.091362305,-0.006218383,0.119886056,-0.2153149,-0.082509175,0.10111459,-0.18910691,-0.08388369,-0.18424435,-0.009692366,-0.05013488,0.26732835,0.05583819,-0.17237632,-0.04993053,-0.04300634,-0.12090768,0.031784203,0.055182517,-0.11222139,-0.00914614,-0.16271351,0.12598754,0.18758857,-0.073341444,-0.038989473,0.11040871,0.21012492,-0.14446469,0.029869981,-0.13130805,-0.07498674,0.04325712,-0.13607503,0.086010315,0.1861497,-0.25721207,-0.000137035,-0.032321684,-0.14417167,-0.12956834,-0.23728648,-0.079490975,0.15857029,0.17415448,0.24814181,0.10563451,0.06925529,-0.28257605,0.022037653,-0.05576914,-0.045835257,0.053809166,-0.10358537,0.14867918,0.1620003,0.24854736,-0.14977926,-0.14642525,0.001844443,-0.013246622,-0.14792126,0.10646367,-0.014763657,-0.09791802,-0.06367153,0.12590002,0.10997226,0.2622498,-0.01719158,-0.021164548,-0.14431657,-0.14599873,-0.048680227,0.11831792,-0.14256734,-0.033021264,-0.11660667,0.0674301,-0.19063829,0.13430144,-0.10469501,-0.023753246,-0.22954644,-0.016754003,0.13384287,-0.12930305,-0.18696672,0.19414099
2,-0.05399778,-0.08679618,0.21733767,0.0532833,0.20461419,0.111915834,-0.08373862,-0.009217707,0.0021642,0.33497,0.16189894,-0.25539762,-0.22028449,-0.26327506,-0.021103801,0.3299162,-0.12442593,0.10546656,0.01677937,0.1733494,0.24857104,0.072421595,-0.054641616,-0.18204877,-0.32249287,0.16181488,0.042115953,0.06850612,0.08395344,-0.1613376,-0.08596361,0.032267064,-0.02807031,-0.233936,-0.14361249,0.2712467,0.550027,-0.042335626,-0.02129446,0.017775461,-0.06141919,0.21271658,-0.03220624,0.029876305,0.16556804,-0.097454526,-0.24171399,-0.3314546,-0.039383635,-0.09523465,0.072831236,0.1214447,0.13314708,0.11351632,-0.13062114,-0.16753446,0.30872485,-0.07478027,0.029279934,0.00754988,0.015216675,0.053448822,0.25609684,0.14532085,-0.0774676,0.041692317,0.19032003,-0.1369824,-0.06818022,-0.041349214,-0.06285525,0.08431188,-0.21445131,0.009932244,-0.010991806,-0.28547922,-0.14580475,0.08978092,0.042930953,-0.07095409,-0.07761929,-0.10077254,0.06373578,0.15817441,0.257194,0.14067233,0.07773902,0.13882852,0.04878099,-0.06689022,0.006061867,-0.07049702,0.035411157,0.0635304,-0.09292264,0.12221527,0.040415905,-0.2816578,-0.3508403,-0.1469088,0.024070151,0.0995254,0.053980183,0.03610033,0.06989596,0.061157938,0.14755954,-0.09631588,0.15925698,-0.06465937,-0.0385024,-0.005574011,-0.21341246,-0.07360637,0.17891786,0.08996118,0.033023607,0.06319448,-0.12178415,-0.046705656,0.03808747,-0.20916878,-0.15057847,0.009446646,-0.112560675,-0.1221898,-0.08060467,-0.06964908
3,-0.099378794,-0.0286159,0.23559257,0.2005765,-0.027539011,0.13358432,0.006085054,-0.028985616,0.049552746,0.2193519,0.037704784,-0.14108688,0.15940669,-0.28626204,0.028416352,0.3959212,-0.19975287,0.11027817,-0.1893419,-0.1480111,0.07735274,0.15562524,-0.008541312,-0.106479004,-0.19536413,0.17102459,0.0855188,0.094764,-0.09244872,0.11820041,-0.1884026,-0.017941514,0.044909183,0.044678625,0.04242066,0.1590875,0.07251763,-0.28541848,0.042058896,-0.05226719,0.003524328,0.03492626,-0.19070478,-0.12660591,0.009806695,-0.029562466,-0.18972881,-0.14122136,-0.08568771,0.08602273,0.38325924,0.076500274,-0.2192693,-0.1880512,-0.24101296,-0.061415642,0.06547076,-0.17419443,0.032076098,-0.18819085,-0.1688258,0.10730259,0.13745038,-0.0239271,0.001906644,-0.007014096,0.36110002,0.13448076,-0.022070326,-0.18325002,-0.06696956,0.06432443,-0.3374278,0.013298252,0.14272459,-0.38739538,-0.06334328,-0.003471519,-0.046396796,0.038689386,-0.13500795,-0.1361638,0.005632354,0.31994483,0.2757417,0.19893049,0.19470614,-0.06693855,0.08006538,0.014095339,-0.12992178,0.07337819,-0.006471751,0.2816156,0.33734685,0.106259264,-0.05284914,-0.09094167,-0.24270163,-0.10661601,-0.06720717,-0.011402168,-0.07809679,-0.13675882,0.1593593,-0.028418172,0.005728804,0.2017171,0.13021317,-0.061296597,0.023443218,-0.07830016,0.035215754,0.09253075,0.053756665,-0.039855998,-0.037155244,-0.010513548,-0.10310935,-0.060413092,-0.09120991,-0.12151489,-0.2029436,0.07582922,0.006696927,-0.020539135,-0.12524515,0.04307882
4,-0.1226917,-0.10056572,0.07088404,0.15597865,0.13635807,0.11475596,-0.06344971,-0.02247593,-0.035793167,0.21518424,0.06476601,-0.26073653,-0.1308382,-0.24175476,-0.053028557,0.27692002,-0.052671544,0.12293003,-0.053060118,0.014899092,0.13326168,0.091340385,-0.12083176,-0.16023625,-0.18052128,0.042414498,-0.06526368,0.10415641,0.000597676,-0.10259103,-0.003693613,0.08166062,-0.005704867,-0.1533996,-0.11142742,0.26342648,0.34311152,-0.10477642,0.007372445,0.002148191,0.00919388,0.19990025,-0.10152795,-0.04612559,0.006755546,-0.14621492,-0.20377497,-0.36685154,0.018621493,-0.10541539,0.18940735,0.16765669,0.037024308,0.022979572,-0.07175689,-0.068291456,0.107406855,-0.12253185,-0.004755455,-0.043594763,0.08497896,0.10351933,0.19251806,0.13768287,-0.11888927,0.046633743,0.19341552,-0.033092175,-0.096387185,-0.13212247,0.003851616,-0.013130722,-0.1268189,-0.041907266,0.14846103,-0.38002616,-0.18627563,0.011583721,-0.019531647,-0.04222618,-0.14169404,-0.03593727,0.06531464,0.14453751,0.3120461,0.049118243,-0.03597554,-0.059817716,-0.017513072,-0.082272954,0.029699331,-0.04197227,-0.088207066,0.12043183,0.007263012,0.17495838,-0.03953345,-0.21983887,-0.2903474,-0.10570346,-0.005754476,0.06681527,-0.011307525,-0.06615647,0.10235801,0.14864825,0.109768316,0.062020835,0.17338283,-0.03756268,-0.15079655,-0.031289916,-0.14157778,0.002291098,0.15905762,0.027036358,0.002019048,0.02859584,-0.07065567,0.045902457,0.097594775,-0.15486418,-0.17421356,0.09626989,-0.006065811,-0.1284701,-0.14312251,0.008499793
5,-0.18920182,-0.29153875,0.20309825,-0.007231721,-0.009715794,0.18237223,-0.11940447,0.084593125,0.03991296,0.2252413,-0.06120682,-0.13033684,0.2557782,-0.34152186,0.08640129,0.2342403,-0.032777667,0.24495982,0.059432983,0.07506122,0.11330361,0.04428652,0.08620383,-0.07486114,-0.17096055,0.22943325,-0.09115673,0.12414845,-0.24263397,0.037967697,-0.17395903,0.049358495,0.14786683,-0.03674623,-0.12738778,0.1352509,0.13095932,-0.12075047,0.03983944,0.006469223,0.010606704,0.005293229,-0.2832167,-0.17918676,0.15576273,-0.11674375,-0.10797851,-0.075259686,-0.020724777,0.10648259,0.1269227,0.055960476,-0.25367734,-0.043987863,-0.21098462,-0.17560072,-0.09032873,-0.12826248,0.08867461,0.01022731,-0.111484565,-0.06828592,0.21801846,0.20278707,0.004403811,0.06840629,0.40641123,-0.066599905,-0.15407345,-0.06814281,0.003067701,-0.007748168,-0.21577024,0.07740845,0.15533257,-0.24918547,-0.16792858,-0.10819493,-0.09834711,0.09381008,-0.08255488,-0.06659063,-0.02269648,0.26840782,0.21109828,0.25724953,0.06256808,0.20735177,0.06979297,-0.045011707,-0.045390703,0.18102477,-0.083044395,0.18200694,0.15298058,0.15132414,-0.07538552,-0.15178177,-0.049955897,-0.023626529,0.23074672,-0.005527544,-0.28929716,-0.1225356,0.18773444,0.17972133,0.08354669,0.009857934,-0.036283188,0.07808958,-0.038111847,-0.19093817,-0.09996136,0.087473065,-0.09452886,-0.015480044,-0.099619396,-0.032993007,-0.13858984,0.040261775,-0.14428821,-0.10173473,-0.008239922,-0.08062498,-0.11797835,0.13756025,-0.121716775,-0.044911053
7,-0.002134437,0.1183262,0.15643598,0.3457669,0.2798058,0.17458627,-0.12168684,-0.043073967,-0.11902217,0.28793025,0.27652827,-0.11410512,-0.04733321,-0.13122517,0.025921425,0.36408645,-0.09704568,0.08862218,-0.13607702,0.0894338,-0.15208735,0.26211923,0.043420296,-0.12383606,-0.22395757,0.23003854,0.089455985,0.098214336,-0.32522035,-0.097681135,-0.055249475,0.10584079,-0.26666278,0.14040332,-0.08495965,0.16056047,0.110498756,-0.31765294,-4.09E-05,0.06303354,0.33455613,0.10511286,-0.09708007,-0.16824865,0.04131154,0.19801718,-0.40756446,0.12299562,-0.057625555,0.032772694,0.33940512,0.07501977,0.08949258,-0.16731805,-0.018577302,-0.040827356,0.20592833,-0.12099156,-0.24666868,-0.30847222,-0.11300033,-0.08864434,0.09689924,-0.108593374,0.10665319,-0.23260312,0.29689202,0.046280727,-0.15207702,-0.25304705,0.00330209,-0.19472767,-0.2613537,-0.111051165,-0.07374486,0.011406699,-0.083585195,0.007833671,0.01041463,-0.09476432,-0.13015817,0.085373856,0.20573719,0.069975704,0.25349617,0.17676361,0.1110422,-0.16546255,-0.21674821,0.123733975,0.21425794,-0.15017769,0.19045426,-0.06405473,-0.014035258,0.109264106,-0.075387575,-0.20071758,-0.08682577,-0.031902086,-0.14899254,-0.009753423,-0.17933153,-0.12702149,-0.054571662,0.123255976,0.02839124,0.21393515,-0.17604919,-0.18048114,-0.074838586,-0.1669165,0.14817403,-0.14017929,-0.03650122,0.10556644,0.24048628,-0.011269059,-0.059086695,-0.14814657,0.20540197,-0.22448392,-0.24926634,0.07197416,0.019021051,0.23300016,-0.028928358,0.15050235
8,-0.25621462,-0.053181745,-0.12464661,-0.001999118,-0.007224713,0.046284184,-0.07564728,-0.003514846,-0.26528412,0.29391852,0.107981056,-0.09471786,-0.13083176,-0.019665549,-0.021713946,0.15338919,-0.023028126,0.23966026,-0.20628515,0.23761198,0.13053489,0.21603099,0.13844481,-0.10825984,-0.12630458,-0.20579153,-0.105964065,0.09324252,0.22566935,-0.17468457,-0.084937036,-0.08263744,0.040273882,-0.043348305,-0.092801996,-0.20248152,0.08547094,-0.017343173,-0.15503865,-0.008824768,0.09131056,0.1080207,-0.139975,-0.18041338,0.01779748,0.036882762,-0.27324438,-0.09733743,0.17822213,-0.1068901,-0.04794967,0.27831358,-0.03671177,0.25694734,-0.10437418,-0.20143569,0.15620475,0.112668686,-0.06342269,-0.13409393,-0.13035166,-0.2790447,0.2701686,0.038346607,0.23793949,0.046896935,0.31674308,-0.17522527,0.026655158,0.057985645,-0.05632492,0.23622051,-0.122110635,0.026429556,-0.16358255,0.028084125,-0.25926933,0.08040174,-0.023495968,-0.35531867,-0.36491382,-0.016087592,-0.051279526,0.15166023,0.44217762,0.1766484,-0.23535854,-0.060777884,-0.07561208,0.15338273,0.15244661,0.0389375,-0.14971438,0.09429021,-0.01751027,0.15490863,0.1046794,-0.21909827,-0.040796217,0.08343871,-0.062104315,-0.08671028,-0.10248647,-0.018840155,0.17965,0.15044883,-0.16472861,0.38193846,0.21820262,-0.00759286,-0.14941336,0.019289093,-0.17836256,-0.15801834,-0.003408305,0.081515215,-0.281356,-0.04899914,-0.052029487,0.022459082,-0.017680213,-0.20638153,-0.07700264,-0.15893729,0.12954038,0.21218126,0.096027814,0.024393883
10,-0.12137069,0.035794135,0.033603683,0.08489451,0.083110675,0.3099823,-0.0685399,0.009474929,-0.094705485,-0.07912398,0.06967253,-0.14020222,-0.013101745,0.1352031,0.05873832,0.14337212,-0.011654088,-0.03682894,-0.06960464,-0.26079586,0.20291564,0.16969202,-0.050853092,0.109378055,-0.05585647,-0.10337801,-0.002459246,0.23228842,0.12737893,0.08334478,0.030083187,-0.037638787,0.13064873,-0.04538474,0.01905941,0.063019425,0.060232572,-0.12225058,-0.12828803,0.047648787,-0.14954194,0.099874794,0.000788373,-0.2613206,-0.06232496,-0.2978392,-0.19217226,-0.24760614,-0.099698864,-0.06360745,0.24510205,-0.009434411,-0.07267385,-0.08751972,-0.30276838,-0.24750945,-0.104284786,-0.27449223,-0.11850465,-0.04965347,-0.3116572,-0.05131983,-0.03978801,-0.16373356,-0.07124942,0.20484363,0.13615407,-0.2904617,-0.05756935,-0.11742799,-0.039908834,0.09400376,-0.010759106,-0.0809525,0.02539344,-0.14846322,-0.061982185,-0.120773196,-0.12140636,-0.18810132,-0.2547629,0.20234235,0.11751077,-0.19133133,0.25354826,0.059190176,-0.015207863,0.062774025,-0.14825833,0.10679339,0.002803363,0.06581569,-0.12394892,0.33035877,0.040162865,-0.092459686,0.11693219,-0.3046964,0.10991231,0.026427612,-0.30612868,-0.1303,0.14978251,-0.08989744,0.05765972,-0.013407849,-0.12524174,0.5253399,-0.005723184,-0.09548468,0.09933225,-0.15829918,-0.28588063,0.021459935,0.26454583,0.04519876,-0.09442594,0.10493261,0.11851552,-0.020327376,0.041865308,-0.041775625,-0.3475397,-0.057940416,0.23797551,0.07347543,0.041230872,0.21840742
11,-0.26392192,0.010558937,0.16797826,0.022490682,-0.035817344,0.05754257,-0.028852094,-0.06894786,-0.07414253,0.3186403,0.052080568,-0.20084243,-0.086768076,-0.08060522,-0.112279676,0.20176859,-0.20246063,0.23875807,-0.22098339,0.07728785,0.07829152,0.057599004,0.017862987,0.049669515,-0.0748002,0.175437,-0.061718524,0.140387,-0.067287534,-0.10444427,-0.07460422,0.20461455,-0.17183456,0.04028966,-0.112051494,-0.008299311,0.17696379,-0.02279136,-0.14429486,-0.019330973,0.21380125,0.055843234,-0.21356696,0.13739783,0.10001142,0.0997964,-0.31411275,-0.037605543,0.031641494,-0.001444945,0.088804916,0.08000095,0.15635423,0.005442644,-0.12029835,-0.24027383,0.1434115,0.12818721,-0.16039602,-0.2072443,-0.0853976,-0.10509667,0.43349177,0.049114935,0.12298547,-0.1421481,0.20882012,-0.09590382,-0.2951559,-0.032706693,-0.0634181,0.16874275,-0.1560077,0.02383356,-0.009084269,-0.07154146,-0.14745912,0.08909326,0.06661506,-0.256963,-0.14634702,-0.06679633,0.102969244,0.109506,0.23529021,0.18975012,-0.057826493,-0.22684067,0.11323052,0.116355725,0.24207157,-0.13764565,-0.05069418,-0.13539754,-0.076415144,0.17887215,-0.02209159,-0.09434146,-0.116641365,0.2522862,-0.099374816,0.07108256,-0.17506112,0.21137951,0.03393975,0.20727405,-0.017716223,0.20135981,0.08464028,-0.08150358,-0.2323673,-0.09528898,-0.20456314,-0.09344176,-0.06429736,0.15516078,0.03108082,0.040835157,-0.073212296,0.017424775,0.18726858,-0.18048711,-0.121568285,-0.06242887,-0.117877714,0.12512192,-0.107186005,0.002663777
