ID_A,ID_B,Level
285,192,Moderate
1138,217,Moderate
1138,287,Moderate
1138,313,Moderate
1138,367,Moderate
426,285,Moderate
1138,430,Moderate
477,285,Moderate
285,497,Moderate
285,499,Moderate
1138,501,Moderate
1138,529,Moderate
656,1138,Moderate
1138,657,Moderate
1138,660,Moderate
285,662,Moderate
663,285,Moderate
664,285,Moderate
1138,701,Moderate
1138,827,Moderate
1138,837,Moderate
843,285,Moderate
285,848,Moderate
1138,879,Moderate
285,895,Moderate
910,1138,Moderate
285,926,Moderate
285,942,Moderate
1138,959,Moderate
981,285,Moderate
982,285,Moderate
986,285,Moderate
1138,1001,Moderate
1133,1138,Moderate
1138,1156,Moderate
1138,1184,Moderate
1212,285,Moderate
1138,1251,Moderate
285,1281,Moderate
1138,1285,Moderate
1138,1302,Moderate
1138,1303,Moderate
1138,1304,Moderate
1138,1313,Moderate
1138,1317,Moderate
1138,1328,Moderate
1138,1447,Moderate
1138,1449,Moderate
1493,1138,Moderate
1497,285,Moderate
10,7,Moderate
102,7,Moderate
149,7,Moderate
7,186,Moderate
192,7,Moderate
207,7,Moderate
7,208,Moderate
7,210,Moderate
7,211,Moderate
7,213,Moderate
7,215,Moderate
7,216,Moderate
7,217,Moderate
287,7,Moderate
299,7,Moderate
313,7,Moderate
7,367,Moderate
7,400,Moderate
426,7,Moderate
477,7,Moderate
7,501,Moderate
7,512,Moderate
514,7,Moderate
7,529,Moderate
656,7,Moderate
657,7,Moderate
660,7,Moderate
7,662,Moderate
663,7,Moderate
691,7,Moderate
701,7,Moderate
7,895,Moderate
7,926,Moderate
981,7,Moderate
982,7,Moderate
986,7,Moderate
1001,7,Moderate
1190,7,Moderate
1192,7,Moderate
1212,7,Moderate
1251,7,Moderate
1303,7,Moderate
1447,7,Moderate
1449,7,Moderate
1468,7,Moderate
1497,7,Moderate
8,18,Moderate
8,662,Moderate
8,996,Moderate
202,35,Moderate
84,437,Moderate
102,437,Moderate
437,104,Moderate
299,437,Moderate
313,437,Moderate
400,437,Moderate
405,437,Moderate
426,437,Moderate
458,437,Moderate
477,437,Moderate
437,499,Moderate
570,437,Moderate
663,437,Moderate
667,437,Moderate
701,437,Moderate
437,771,Moderate
843,437,Moderate
437,895,Moderate
437,926,Moderate
942,437,Moderate
986,437,Moderate
995,437,Moderate
202,1042,Moderate
1056,437,Moderate
1090,437,Moderate
1212,437,Moderate
