ID_A,ID_B,Level
1346,558,Moderate
1346,559,Moderate
1346,560,Moderate
1346,563,Moderate
1346,568,Moderate
1346,582,Moderate
1346,587,Moderate
590,1346,Moderate
1346,600,Moderate
1346,601,Moderate
1346,603,Moderate
1346,608,Moderate
1346,620,Moderate
1346,624,Moderate
1346,626,Moderate
1346,627,Moderate
1346,641,Moderate
1346,650,Moderate
1346,653,Moderate
1346,654,Moderate
1346,661,Moderate
666,1346,Moderate
1346,667,Moderate
1346,670,Moderate
1346,680,Moderate
1346,684,Moderate
1346,700,Moderate
1346,708,Moderate
1346,709,Moderate
1346,715,Moderate
1346,717,Moderate
1346,745,Moderate
750,1346,Moderate
1346,774,Moderate
1346,839,Moderate
1346,868,Moderate
1346,871,Moderate
1346,921,Moderate
1346,989,Moderate
1346,1087,Moderate
1346,1121,Moderate
1346,1128,Moderate
1346,1129,Moderate
1346,1136,Moderate
1346,1197,Moderate
1346,1200,Moderate
1346,1209,Moderate
1346,1247,Moderate
1346,1273,Moderate
1346,1354,Moderate
1346,1368,Moderate
1346,1372,Moderate
1375,1346,Moderate
1346,1376,Moderate
1346,1380,Moderate
1346,1386,Moderate
1346,1390,Moderate
1346,1392,Moderate
1346,1394,Moderate
1346,1401,Moderate
1402,1346,Moderate
1346,1408,Moderate
1346,1419,Moderate
1437,1346,Moderate
1346,1429,Moderate
1346,1440,Moderate
1346,1443,Moderate
1346,1455,Moderate
1346,1458,Moderate
1465,1346,Moderate
1346,1475,Moderate
1346,1478,Moderate
1346,1479,Moderate
1346,29,Moderate
1346,1488,Moderate
1493,1346,Moderate
1346,1501,Moderate
1346,1512,Moderate
1522,1346,Moderate
1527,1346,Moderate
1346,1534,Moderate
1346,1536,Moderate
1537,1346,Moderate
1346,1542,Moderate
1348,1419,Moderate
1348,1446,Moderate
53,1354,Moderate
1354,342,Moderate
473,1354,Moderate
527,1354,Moderate
558,1354,Moderate
1354,567,Moderate
703,1354,Moderate
709,1354,Moderate
710,1354,Moderate
713,1354,Moderate
745,1354,Moderate
1087,1354,Moderate
1372,1354,Moderate
1376,1354,Moderate
1397,1354,Moderate
1403,1354,Moderate
1419,1354,Moderate
1446,1354,Moderate
1457,1354,Moderate
1458,1354,Moderate
1354,1507,Moderate
1525,1354,Moderate
1537,1354,Moderate
1356,356,Moderate
1356,357,Moderate
1356,359,Moderate
1356,473,Moderate
1356,517,Moderate
1356,558,Moderate
589,1356,Moderate
1356,592,Moderate
1356,600,Moderate
1356,644,Moderate
1356,648,Moderate
1356,699,Moderate
1356,708,Moderate
1356,710,Moderate
1356,713,Moderate
1356,1235,Moderate
1356,1339,Moderate
1356,1357,Moderate
1356,1396,Moderate
1437,1356,Moderate
1356,1455,Moderate
1356,1514,Moderate
1356,1534,Moderate
1537,1356,Moderate
1540,1356,Moderate
130,1357,Moderate
1357,342,Moderate
356,1357,Moderate
359,1357,Moderate
473,1357,Moderate
517,1357,Moderate
526,1357,Moderate
558,1357,Moderate
589,1357,Moderate
592,1357,Moderate
600,1357,Moderate
648,1357,Moderate
699,1357,Moderate
703,1357,Moderate
708,1357,Moderate
709,1357,Moderate
710,1357,Moderate
713,1357,Moderate
745,1357,Moderate
1087,1357,Moderate
1167,1357,Moderate
1357,1380,Moderate
1396,1357,Moderate
1398,1357,Moderate
1419,1357,Moderate
1437,1357,Moderate
1426,1357,Moderate
1446,1357,Moderate
1455,1357,Moderate
1458,1357,Moderate
1357,1507,Moderate
1508,1357,Moderate
1357,1526,Moderate
1534,1357,Moderate
1536,1357,Moderate
1537,1357,Moderate
1457,1361,Moderate
1367,510,Moderate
1367,653,Moderate
1367,654,Moderate
1367,709,Moderate
1367,1397,Moderate
1437,1367,Moderate
1367,1458,Moderate
1367,1525,Moderate
1370,709,Moderate
1437,1370,Moderate
1370,1446,Moderate
1370,1458,Moderate
2,1372,Moderate
10,1372,Moderate
53,1372,Moderate
64,1372,Moderate
72,1372,Moderate
78,1372,Moderate
87,1372,Moderate
96,1372,Moderate
1372,147,Moderate
1372,168,Moderate
195,1372,Moderate
232,1372,Moderate
286,1372,Moderate
425,1372,Moderate
1372,435,Moderate
473,1372,Moderate
1372,510,Moderate
517,1372,Moderate
1372,526,Moderate
1372,533,Moderate
534,1372,Moderate
554,1372,Moderate
1372,559,Moderate
1372,563,Moderate
1372,567,Moderate
568,1372,Moderate
587,1372,Moderate
590,1372,Moderate
601,1372,Moderate
603,1372,Moderate
608,1372,Moderate
1372,618,Moderate
620,1372,Moderate
1372,626,Moderate
1372,627,Moderate
641,1372,Moderate
650,1372,Moderate
1372,653,Moderate
1372,654,Moderate
657,1372,Moderate
660,1372,Moderate
1372,661,Moderate
1372,662,Moderate
666,1372,Moderate
667,1372,Moderate
670,1372,Moderate
680,1372,Moderate
1372,684,Moderate
700,1372,Moderate
708,1372,Moderate
1372,709,Moderate
715,1372,Moderate
1372,717,Moderate
719,1372,Moderate
750,1372,Moderate
774,1372,Moderate
839,1372,Moderate
1372,842,Moderate
1372,868,Moderate
1372,871,Moderate
1372,921,Moderate
980,1372,Moderate
989,1372,Moderate
1372,1108,Moderate
1121,1372,Moderate
1372,1129,Moderate
1136,1372,Moderate
1197,1372,Moderate
1372,1200,Moderate
1209,1372,Moderate
1372,1247,Moderate
1273,1372,Moderate
1368,1372,Moderate
1375,1372,Moderate
1376,1372,Moderate
1372,1386,Moderate
1372,1389,Moderate
1372,1390,Moderate
1392,1372,Moderate
1372,1394,Moderate
1372,1397,Moderate
1401,1372,Moderate
1402,1372,Moderate
1372,1408,Moderate
1419,1372,Moderate
1437,1372,Moderate
1433,1372,Moderate
1434,1372,Moderate
1443,1372,Moderate
1447,1372,Moderate
1449,1372,Moderate
1372,1458,Moderate
1372,1475,Moderate
1478,1372,Moderate
1479,1372,Moderate
29,1372,Moderate
1488,1372,Moderate
